일시,종로구계,중구계,용산구,동대문구계,노원구,서대문구계,서초구,강남구,송파구계
2023년,8642137,5555866,4179508,109387,62648,643299,0,413700,7706775
2024년,9717023,6297317,3865945,148079,79855,644625,44146,480308,7647263
 2024-01,384370,345777,325143,5337,1937,43105,1363,15193,607181
 2024-02,781165,430438,305506,6605,3861,45449,2526,23820,712078
 2024-03,828594,434173,222257,11946,3670,52254,3446,38704,519887
 2024-04,1044166,647347,234600,11303,4875,50279,3826,56271,547845
 2024-05,1088276,773959,296209,12833,8718,58115,5109,61631,628589
 2024-06,707205,562157,296519,10813,12536,64055,3500,41251,545906
 2024-07,519566,476398,360844,9823,2839,40954,1717,25410,646430
 2024-08,523262,365016,424672,12247,2295,66151,1500,21627,747702
 2024-09,1004130,492456,348600,13573,5339,52300,2981,39035,587879
 2024-10,1320496,780458,318296,34132,11648,77801,5419,80950,732355
 2024-11,1060132,628230,280120,12225,12520,58056,6042,43130,628768
 2024-12,500206,360908,453179,7242,9617,36106,6717,33286,742643
