명 칭,소 재 지,건물 연면적(제곱미터),좌석수(석),소장 장서수(권)
한밭도서관,대전광역시 중구 서문로 10,22485,3468,905915
대전학생교육문화원,대전광역시 중구 동서대로 1360,4990,712,137688
대전학생교육문화원부설 산성어린이도서관,대전광역시 중구 산서로62번길 53,2318,420,78086
가오도서관,대전광역시 동구 동구청로 147(동구청사 내),2800,300,121842
용운도서관,대전광역시 동구 새울로68번길 23-23,1872,310,120611
판암도서관,대전광역시 동구 옥천로180번길 20,468,73,36385
무지개도서관,대전광역시 동구 동부로 56-22,511,71,62497
자양도서관,대전광역시 동구 백룡로 16(자양동행정복지센터),1010,104,53385
홍도도서관,대전광역시 동구 동산초교로34번길 56(홍도동행정복지센터),932,80,54699
갈마도서관,대전광역시 서구 신갈마로127번길 138,2706,800,211243
가수원도서관,대전광역시 서구 가수원로 91-11,3877,781,166963
둔 산 도 서 관,대전광역시 서구 청사로 263,2367,450,143241
어린이 도서관,대전광역시 서구 정림동로 25 ,560,435,77805
월평도서관,대전광역시 서구 한밭대로 664,3584,150,66883
유성도서관,대전광역시 유성구 대덕대로 507-38,2465,329,131350
구즉도서관,대전광역시 유성구 와룡로37번길 20,1496,277,101532
진잠도서관,대전광역시 유성구 진잠로160번길 19,2590,487,84080
노은도서관,대전광역시 유성구 노은동로234번길 34,3355,569,105738
구암도서관,대전광역시 유성구 유성대로626번길 57,911,326,61669
관평도서관,대전광역시 유성구 테크노4로 131,1755,311,47179
원신흥도서관,대전광역시 유성구 원신흥남로 59,3716,365,49630
안산도서관,대전광역시 대덕구 계족로663길 25,1941,650,152991
신탄진도서관,대전광역시 대덕구 신탄진동로 64,4891,1200,163006
송촌도서관,대전광역시 대덕구 송촌로 59,1983,530,95559
